"sample.name","injection.order","class","batch","group"
"QC51",353,"QC",2,"QC"
"EC7285",354,"Subject",2,"1"
"ECA573",355,"Subject",2,"1"
"EC7341",356,"Subject",2,"1"
"ECA327",357,"Subject",2,"0"
"EC7502",358,"Subject",2,"1"
"ECA098",359,"Subject",2,"0"
"ECA197",360,"Subject",2,"0"
"ECA169",361,"Subject",2,"0"
"QC52",362,"QC",2,"QC"
"ECA288",363,"Subject",2,"0"
"EC616",364,"Subject",2,"0"
"ECA642",365,"Subject",2,"0"
"ECA537",366,"Subject",2,"0"
"EC7286",367,"Subject",2,"1"
"ECA290",368,"Subject",2,"0"
"ECA193",369,"Subject",2,"0"
"EC0858",370,"Subject",2,"1"
"QC53",371,"QC",2,"QC"
"ECA405",372,"Subject",2,"0"
"EC6809",373,"Subject",2,"1"
"ECA407",374,"Subject",2,"0"
"ECA167",375,"Subject",2,"0"
"EC6915",376,"Subject",2,"1"
"EC7183",377,"Subject",2,"1"
"EC0364",378,"Subject",2,"0"
"ECA108",379,"Subject",2,"0"
"QC54",380,"QC",2,"QC"
"EC7028",381,"Subject",2,"1"
"EC0466",382,"Subject",2,"1"
"ECA425",383,"Subject",2,"0"
"ECA1070",384,"Subject",2,"1"
"EC7282",385,"Subject",2,"1"
"EC6775",386,"Subject",2,"1"
"EC302",387,"Subject",2,"0"
"EC6850",388,"Subject",2,"1"
"QC55",389,"QC",2,"QC"
"ECA106",390,"Subject",2,"0"
"EC7507",391,"Subject",2,"1"
"EC735",392,"Subject",2,"0"
"EC7070",393,"Subject",2,"1"
"EC623",394,"Subject",2,"0"
"EC7184",395,"Subject",2,"1"
"EC577",396,"Subject",2,"0"
"EC0830",397,"Subject",2,"1"
"QC56",398,"QC",2,"QC"
"EC0576",399,"Subject",2,"0"
"ECA508",400,"Subject",2,"0"
"EC612",401,"Subject",2,"0"
"EC7393",402,"Subject",2,"1"
"EC6993",403,"Subject",2,"1"
"EC633",404,"Subject",2,"0"
"ECA110",405,"Subject",2,"0"
"EC0864",406,"Subject",2,"1"
"QC57",407,"QC",2,"QC"
"ECA574",408,"Subject",2,"0"
"EC6945",409,"Subject",2,"1"
"ECA418",410,"Subject",2,"0"
"EC7383",411,"Subject",2,"1"
"EC653",412,"Subject",2,"0"
"EC7114",413,"Subject",2,"1"
"EC1A1079",414,"Subject",2,"1"
"EC711_1",415,"Subject",2,"0"
"QC58",416,"QC",2,"QC"
"EC0547",417,"Subject",2,"1"
"EC0628_2",418,"Subject",2,"1"
"EC7326",419,"Subject",2,"1"
"EC646",420,"Subject",2,"0"
"EC0681",421,"Subject",2,"1"
"ECA186",422,"Subject",2,"0"
"ECA143",423,"Subject",2,"0"
"EC733",424,"Subject",2,"0"
"QC59",425,"QC",2,"QC"
"ECA103",426,"Subject",2,"0"
"ECA022",427,"Subject",2,"0"
"EC7061",428,"Subject",2,"1"
"ECA1142",429,"Subject",2,"1"
"ECA216",430,"Subject",2,"0"
"ECA024",431,"Subject",2,"0"
"ECA415",432,"Subject",2,"0"
"EC6851",433,"Subject",2,"1"
"QC60",434,"QC",2,"QC"
