"name","mz","rt","polarity"
"M99T34_1_POS",98.9841432621876,34.342321395874,"positive"
"M99T595_POS",98.9841235876613,594.7275390625,"positive"
"M99T34_2_POS",99.0438045886122,33.5272922515869,"positive"
"M99T236_POS",99.0804740149559,235.642028808594,"positive"
"M99T589_POS",99.3303494960143,589.232238769531,"positive"
"M100T33_POS",99.978658455291,32.7675819396973,"positive"
"M100T38_POS",100.039275408347,37.8393096923828,"positive"
"M100T67_POS",100.075674956212,67.4404907226562,"positive"
"M100T35_POS",100.112041963701,34.9470024108887,"positive"
"M101T36_1_POS",101.059718069879,36.272439956665,"positive"
"M101T68_POS",101.079045869364,68.0027542114258,"positive"
"M101T266_POS",101.310142969361,265.680725097656,"positive"
"M102T840_POS",101.976198898315,840.062316894531,"positive"
"M102T35_1_POS",102.054769625731,34.8806304931641,"positive"
