"name","mz","rt","polarity","p_value","fc"
"M93T34_POS",93.0698939011008,33.5379657745361,"positive",0.518257015296521,1.06650745039383
"M93T581_POS",93.1020889721023,581.412536621094,"positive",0.00155817551246961,0.744097978475239
"M94T33_POS",94.041238278912,33.4863395690918,"positive",0.528147228506907,1.10747244966968
"M94T35_POS",94.0651249688568,34.914888381958,"positive",0.166973778572986,1.2307831454233
"M95T34_POS",95.0491322069355,33.5855140686035,"positive",0.576045190607105,1.05055446099503
"M95T126_POS",95.0491699368753,125.675903320312,"positive",0.772377261775666,1.06930573306043
"M95T35_2_POS",95.0854496213222,35.3009757995605,"positive",0.935480116880321,1.03377788351734
"M95T625_POS",95.085466221594,624.967895507812,"positive",0.566073186823913,0.947379841354412
"M95T655_1_POS",95.1978072058936,655.306945800781,"positive",0.7477510376414,1.07197040255508
"M95T655_2_POS",95.4484238444166,655.492126464844,"positive",0.229855708038684,1.29141789109449
"M96T34_POS",96.052247289702,34.2426872253418,"positive",0.432802406399223,1.36769705215201
"M96T127_POS",96.0525255657069,126.849166870117,"positive",0.812940314513335,0.937416181105668
"M97T863_POS",97.0075921119097,863.24853515625,"positive",0.925246777866968,1.01735059817379
"M97T895_POS",97.0076181870486,895.0703125,"positive",0.664261969188439,1.0535533051302
"M97T920_POS",97.0076224101539,920.145172119141,"positive",0.397860693184516,1.11752945033182
"M97T956_POS",97.0076250326539,956.022583007812,"positive",0.929012981769161,1.0237155638329
"M97T995_POS",97.0076244260349,994.951904296875,"positive",0.952338816598416,0.98717075133521
"M97T33_2_POS",97.0284504193391,33.4873085021973,"positive",0.926062269889383,0.976366121633173
"M97T36_POS",97.0648087283562,36.1760768890381,"positive",0.462407164125306,1.0730084517218
"M99T818_POS",98.9840350049019,818.320739746094,"positive",0.973878731433716,0.992205324221902
"M99T34_1_POS",98.9841432621876,34.342321395874,"positive",0.811378741515633,1.03758489989887
"M99T595_POS",98.9841235876613,594.7275390625,"positive",0.924572085684917,1.01554923449402
"M99T34_2_POS",99.0438045886122,33.5272922515869,"positive",0.859640979596261,1.04720844986151
"M99T236_POS",99.0804740149559,235.642028808594,"positive",0.989990232068894,1.00211449247935
"M99T589_POS",99.3303494960143,589.232238769531,"positive",0.951011005200449,1.02600714472003
"M100T33_POS",99.978658455291,32.7675819396973,"positive",0.848475419287982,1.05188429624523
"M100T38_POS",100.039275408347,37.8393096923828,"positive",0.652746755487447,1.10268187221591
"M100T67_POS",100.075674956212,67.4404907226562,"positive",0.766756068352568,1.10637525537561
